Question,Time,Team,Wager,Answer,Correct,Points_Earned
1-Jan,44171.77568,Josh Allen is Elite,7,Apollo 13,x,7
1-Jan,44171.77573,Team MBF,7,Apollo 13,x,7
1-Jan,44171.77584,Fellowship of the Beer,5,Apollo 13,x,5
1-Jan,44171.77591,Team Jax,7,Apollo 13,x,7
1-Jan,44171.77595,Team Matigale,3,Apollo 13,x,3
1-Jan,44171.77602,Skinny Legends,3,apollo 13,x,3
1-Jan,44171.77615,Team Bag-Bo,1,Forest Gump,,0
1-Jan,44171.77616,"Not Great, Not Terrible",7,Apollo 13,x,7
2-Jan,44171.77699,Team Bag-Bo,7,One Republic,x,7
2-Jan,44171.77701,Team Jax,5,OneRepublic,x,5
2-Jan,44171.77702,Team Matigale,7,One Republic,x,7
2-Jan,44171.77706,Josh Allen is Elite,5,One Republic,x,5
2-Jan,44171.77711,Skinny Legends,5,one republic,x,5
2-Jan,44171.77743,Fellowship of the Beer,1,Chainsmokers,,0
2-Jan,44171.7776,"Not Great, Not Terrible",3,One Republic,x,3
2-Jan,44171.77763,Team MBF,5,imagine dragons,,0
3-Jan,44171.77817,Fellowship of the Beer,7,Grain of salt,x,7
3-Jan,44171.77826,"Not Great, Not Terrible",5,A grain of salt,x,5
3-Jan,44171.77827,Team MBF,3,with a grain of salt,x,3
3-Jan,44171.77833,Team Bag-Bo,5,A grain of salt,x,5
3-Jan,44171.77835,Skinny Legends,7,a grain of salt,x,7
3-Jan,44171.7784,Team Matigale,5,"take it ""with a grain of salt""",x,5
3-Jan,44171.77849,Team Jax,3,with a grain of salt?,x,3
3-Jan,44171.77899,Josh Allen is Elite,1,a can of nar idk good question,,0
4-Jan,44171.77973,Team Bag-Bo,3,Fools gold,x,3
4-Jan,44171.77981,Team Matigale,1,fool's gold,x,1
4-Jan,44171.77983,Fellowship of the Beer,3,Fool's Gold,x,3
4-Jan,44171.77987,Skinny Legends,1,fool's gold,x,1
4-Jan,44171.77989,"Not Great, Not Terrible",1,Fool's gold,x,1
4-Jan,44171.77998,Josh Allen is Elite,3,"Fool's Gold (also, I thought a grain of salt was too simple lol it did cross my mind)",x,3
4-Jan,44171.77999,Team MBF,1,fools gold,x,1
4-Jan,44171.78005,Team Jax,1,aluminum?,,0
1-Feb,44171.78567,"Not Great, Not Terrible",7,Milhouse,x,7
1-Feb,44171.78592,Team MBF,5,Bart,,0
1-Feb,44171.78592,Team Jax,1,Bart?,,0
1-Feb,44171.78603,Josh Allen is Elite,1,Bart,,0
1-Feb,44171.78619,Team Bag-Bo,1,Richard Nixon the character,,0
1-Feb,44171.78624,Team Matigale,1,Bart,,0
1-Feb,44171.78625,Skinny Legends,1,millhouse,x,1
1-Feb,44171.78654,Fellowship of the Beer,1,Bart,,0
2-Feb,44171.78717,Fellowship of the Beer,7,Dancing with the Stars,x,7
2-Feb,44171.78718,Team Bag-Bo,7,Dancing with the Stars,x,7
2-Feb,44171.78726,"Not Great, Not Terrible",5,Dancing with the Stars,x,5
2-Feb,44171.78731,Team Jax,7,Dancing with the stars,x,7
2-Feb,44171.78735,Team Matigale,7,Dancing With the Stars,x,7
2-Feb,44171.78743,Skinny Legends,7,dancing with the stars,x,7
2-Feb,44171.78747,Josh Allen is Elite,7,If this isn't Dancing with the Stars....you got me good,x,7
2-Feb,44171.78753,Team MBF,7,Dancing with the Stars,x,7
3-Feb,44171.78817,Team Matigale,6,"Bolivia (La Paz, Sucre)",x,6
3-Feb,44171.78843,Team Jax,5,Bolivia,x,5
3-Feb,44171.78875,Team Bag-Bo,3,Chile,,0
3-Feb,44171.78875,Josh Allen is Elite,3,Argentina,,0
3-Feb,44171.78897,Skinny Legends,3,bolivia,x,3
3-Feb,44171.78921,Fellowship of the Beer,3,Bolivia,x,3
3-Feb,44171.78964,"Not Great, Not Terrible",1,Bolivia,x,1
3-Feb,44171.79005,Team MBF,1,Brazil,,0
4-Feb,44171.79066,Team Jax,3,xenon,,0
4-Feb,44171.79067,Team MBF,3,hydrogen,,0
4-Feb,44171.79101,Team Matigale,3,Flourine,x,3
4-Feb,44171.79111,Team Bag-Bo,7,Fluorine,x,7
4-Feb,44171.79131,Josh Allen is Elite,5,Krypton,,0
4-Feb,44171.79137,Skinny Legends,5,hydrogen,,0
4-Feb,44171.79154,Fellowship of the Beer,5,hydrogen,,0
4-Feb,44171.79172,"Not Great, Not Terrible",3,Hydrogen,,0
1-Mar,44171.79615,Team Jax,8,"Perseus (thanks, Percy Jackson)",x,8
1-Mar,44171.79618,Josh Allen is Elite,8,Perceus,x,8
1-Mar,44171.7962,Team Bag-Bo,8,Perceus,x,8
1-Mar,44171.79621,Skinny Legends,4,Hercules,,0
1-Mar,44171.79634,Team MBF,2,percy jackson :),,0
1-Mar,44171.79646,Team Matigale,4,Perseus,x,4
1-Mar,44171.79673,Fellowship of the Beer,2,Odysseus,,0
1-Mar,44171.79713,"Not Great, Not Terrible",4,Hercules,,0
2-Mar,44171.79766,Team Jax,6,Versace,x,6
2-Mar,44171.79767,Skinny Legends,6,Versace,x,6
2-Mar,44171.79792,Josh Allen is Elite,2,Versace,x,2
2-Mar,44171.79799,Fellowship of the Beer,4,Hermes,,0
2-Mar,44171.798,Team Bag-Bo,6,Versace,x,6
2-Mar,44171.79807,Team MBF,4,versace,x,4
2-Mar,44171.79836,Team Matigale,6,Versace,x,6
2-Mar,44171.79877,"Not Great, Not Terrible",2,Zegna,,0
3-Mar,44171.79944,Team Jax,1,lip?,x,1
3-Mar,44171.79981,"Not Great, Not Terrible",6,Cupid's bow (between nose and lip),x,6
3-Mar,44171.79988,Team Bag-Bo,2,Head of the peni,,0
3-Mar,44171.79992,Team MBF,6,eyebrow,,0
3-Mar,44171.80005,Josh Allen is Elite,4,Eyebrow,,0
3-Mar,44171.80035,Fellowship of the Beer,6,Eyebrow,,0
3-Mar,44171.80054,Team Matigale,2,vagina,,0
3-Mar,44171.80075,Skinny Legends,2,the bridge of your nose,,0
4-Mar,44171.80168,Fellowship of the Beer,8,Growler,x,8
4-Mar,44171.80179,Skinny Legends,8,growler,x,8
4-Mar,44171.80202,"Not Great, Not Terrible",8,Growler,x,8
4-Mar,44171.80213,Team Matigale,8,growler,x,8
4-Mar,44171.80242,Team Jax,3,pitcher,,0
4-Mar,44171.80253,Josh Allen is Elite,6,damn I love these questions I'm not sure though,,0
4-Mar,44171.80265,Team Bag-Bo,4,ampule,,0
4-Mar,44171.80318,Team MBF,4,jug,x,4
1-Apr,44171.81278,Skinny Legends,8,rapunzel,,0
1-Apr,44171.81303,Team Jax,8,Merida,x,8
1-Apr,44171.81316,Josh Allen is Elite,8,Meredah (spelling),x,8
1-Apr,12/6/2020 19:31,Team Matigale,6,Merida (Brave),x,6
1-Apr,12/6/2020 19:31,Team Bag-Bo,6,Merida (Brave),x,6
1-Apr,12/6/2020 19:31,Fellowship of the Beer,6,Rapunzel,,0
1-Apr,12/6/2020 19:32,"Not Great, Not Terrible",4,Rapunzel,,0
1-Apr,12/6/2020 19:33,Team MBF,4,Princess Madiera from Brave,x,4
2-Apr,12/6/2020 19:35,Team Jax,8.5,Quetzalcoatl,x,8.5
2-Apr,12/6/2020 19:35,Skinny Legends,2,thus begins the downfall of the skinny legends,,0
2-Apr,12/6/2020 19:35,Josh Allen is Elite,6,Quelztecocal,x,6
2-Apr,12/6/2020 19:35,Fellowship of the Beer,8,Quetzlcoatl,x,8
2-Apr,12/6/2020 19:36,Team MBF,2,?,,0
2-Apr,12/6/2020 19:36,"Not Great, Not Terrible",2,Chichietzu,,0
2-Apr,12/6/2020 19:36,Team Bag-Bo,2,Tlaloc,,0
2-Apr,12/6/2020 19:37,Team Matigale,2,tzekel khan,,0
3-Apr,12/6/2020 19:38,Josh Allen is Elite,2,rapier,,0
3-Apr,12/6/2020 19:39,Skinny Legends,6,rapier,,0
3-Apr,12/6/2020 19:39,Team MBF,6,spear,,0
3-Apr,12/6/2020 19:39,Team Bag-Bo,8,Saber,x,8
3-Apr,12/6/2020 19:39,Team Jax,2,the pen,,0
3-Apr,12/6/2020 19:39,Fellowship of the Beer,2,"The ""Stick em with the pointy end""",,0
3-Apr,12/6/2020 19:39,Team Matigale,4,sabre,x,4
3-Apr,12/6/2020 19:41,"Not Great, Not Terrible",6,Rapier,,0
4-Apr,12/6/2020 19:42,"Not Great, Not Terrible",8,Handel,x,8
4-Apr,12/6/2020 19:42,Team Bag-Bo,4,Handel,x,4
4-Apr,12/6/2020 19:42,Fellowship of the Beer,4,Shrek (played by Bing Crosby),,0
4-Apr,12/6/2020 19:42,Team MBF,8,Anderson,,0
4-Apr,12/6/2020 19:42,Team Jax,3,no clue,,0
4-Apr,12/6/2020 19:42,Team Matigale,8,Handel,x,8
4-Apr,12/6/2020 19:42,Skinny Legends,6,i hope this wager is correct but chopin,,0
4-Apr,12/6/2020 19:44,Josh Allen is Elite,4,Handel!!!!!,x,4
